text,label
Bank Security Alert. Install TeamViewer for verification with your OTP within 30 minutes or your account will be suspended.,1
Security Team notice. Share your username and password and your password asap to avoid legal action.,1
Here is the code for the classroom door: 944313 (normal).,0
Are we still on for meeting?,0
See you tomorrow.,0
"Hi Haziq, are you free tomorrow morning?",0
Let’s meet at office 2pm.,0
Account Center: Install TeamViewer for verification and your login details today only or your account will be suspended.,1
Account Center: Security verification required today only. https://login.it-helpdesk.secure.verify.click/auth/776913,1
Official Support: Transfer via crypto to confirm today only to avoid termination. Sign in to verify.,1
Security Team notice. Pay outstanding balance immediately asap or your account will be deleted. Provide your PIN.,1
I’ll call you in 20 minutes.,0
Please WhatsApp me when you arrive (normal).,0
Your parcel is delivered. Thank you.,0
"I’m on my way, arriving in 30 mins.",0
Official Support: Update your password within 30 minutes or your account will be suspended.,1
IT Helpdesk here. Security verification required asap. https://login.it-helpdesk.secure.verify.click/auth/412848,1
Don’t forget to submit the slides by Friday.,0
Receipt: payment of $10 received. Ref 705050.,0
Security Team notice. Contact me on Telegram now asap or your account will be suspended. Ref: 685472,1
Admin Team: Install AnyDesk so we can fix it with your verification code within 30 minutes or your account will be deleted.,1
Meeting moved to next week 2pm.,0
Service Provider Notice: Click the link to continue with your OTP asap to avoid termination.,1
Please WhatsApp me when you arrive (normal).,0
Congratulations! You won a prize. Reply with your verification code asap. Link: http://241.228.107.211/verify/486996,1
Please WhatsApp me when you arrive (normal).,0
Class starts at 10am.,0
Admin Team: Reply with your verification code immediately to avoid legal action.,1
Congratulations! You won a prize. Install AnyDesk so we can fix it within 24 hours. Link: https://tinyurl.com/370804,1
Service Provider Notice: Security verification required within 24 hours. http://185.7.168.128/verify/409963,1
Thanks for your help with the assignment.,0
Account Center: Click the link to continue today only or your account will be locked.,1
Official Support: Message me on WhatsApp to complete verification immediately to avoid legal action. Ref: 599704,1
Security Team notice. Security verification required asap. https://rebrand.ly/562094,1
"Hi Aisyah, are you free this afternoon?",0
Service Provider Notice: Security verification required now. https://is.gd/927769,1
Service Provider Notice: Install TeamViewer for verification asap to avoid legal action.,1
Happy birthday Amin!,0
Reminder: presentation at 3pm.,0
Security Team notice. Click the link to continue and your login details within 30 minutes to avoid legal action.,1
Receipt: payment of $25 received. Ref 660086.,0
Bank Security Alert. Transfer via crypto to confirm within 24 hours to avoid termination. Reset your account now.,1
"I’m on my way, arriving in 15 mins.",0
Official Support: DM me privately for the verification steps asap or your account will be suspended. Ref: 868844,1
Bank Security Alert. Install AnyDesk so we can fix it and your login details today only or your account will be suspended.,1
Your parcel is delivered. Thank you.,0
I’ll call you in 45 minutes.,0
"I’m on my way, arriving in 30 mins.",0
Security Team notice. Confirm your login details with your verification code within 24 hours to prevent permanent loss.,1
Let’s meet at campus tomorrow morning.,0
Can we reschedule to next week?,0
Security Team notice. Update your password and your password asap or your account will be deleted.,1
Security Team notice. Wire transfer required to avoid cancellation within 24 hours to prevent permanent loss. Send your OTP code.,1
Service Provider Notice: Reset your account now with your verification code immediately or your account will be suspended.,1
I’ll call you in 20 minutes.,0
Your parcel is delivered. Thank you.,0
IT Helpdesk here. Provide your PIN today only to avoid termination.,1
Admin Team: Contact me on Telegram now within 24 hours or your account will be locked. Ref: 349087,1
"I’m on my way, arriving in 10 mins.",0
Don’t forget to submit the slides by Friday.,0
"I’m on my way, arriving in 30 mins.",0
You are selected for a reward. Provide your PIN now. Link: https://login.security-alert.secure.verify.info/auth/789089,1
Bank Security Alert. Pay a small fee to release your parcel now or your account will be locked. Share your username and password.,1
Bank Security Alert. Pay a small fee to release your parcel urgently to avoid termination. Confirm your login details.,1
See you Monday.,0
Reminder: group discussion at this afternoon.,0
I’ll call you in 5 minutes.,0
Happy birthday Amin!,0
"Hi Hakim, are you free 5pm?",0
Class starts at 5pm.,0
Class starts at 5pm.,0
Class starts at 9am.,0
Thanks for your help with the assignment.,0
Are we still on for appointment?,0
This is IT support. Security verification required now. https://login.verify-account.secure.verify.click/auth/175902,1
Security Team notice. Click the link to continue and your password asap or your account will be suspended.,1
Here is the code for the classroom door: 832621 (normal).,0
Thanks for your help with the prototype.,0
Congratulations! You won a prize. Send your OTP code now. Link: https://login.account-security.secure.verify.net/auth/168458,1
Bank Security Alert. Send money via gift card urgently to prevent permanent loss. Sign in to verify.,1
I’ll call you in 15 minutes.,0
Bank Security Alert. Reply with your verification code and your login details within 30 minutes to avoid termination.,1
Can we reschedule to next week?,0
This is IT support. Pay outstanding balance immediately asap or your account will be suspended. Reset your account now.,1
Security Team notice. Install TeamViewer for verification immediately to avoid termination.,1
Bank Security Alert. DM me privately for the verification steps within 24 hours or your account will be locked. Ref: 648513,1
Free gift waiting for you. Install TeamViewer for verification today only. Link: https://login.account-security.secure.verify.info/auth/170634,1
Security Team notice. Pay outstanding balance immediately today only to prevent permanent loss. Update your password.,1
Account Center: Send money via gift card immediately or your account will be deleted. Confirm your login details.,1
I’ll call you in 15 minutes.,0
This is IT support. Contact me on Telegram now today only to avoid legal action. Ref: 654718,1
Bank Security Alert. Pay outstanding balance immediately within 30 minutes to avoid legal action. Update your password.,1
Free gift waiting for you. Install AnyDesk so we can fix it now. Link: https://login.verify-account.secure.verify.xyz/auth/954551,1
"Hi Hakim, are you free 2pm?",0
See you next week.,0
Can we reschedule to Saturday?,0
Congratulations! You won a prize. Click the link to continue within 30 minutes. Link: http://134.201.108.29/verify/534574,1
IT Helpdesk here. Wire transfer required to avoid cancellation urgently to avoid legal action. Install TeamViewer for verification.,1
I’ll call you in 10 minutes.,0
Don’t forget to submit the slides by Saturday.,0
Service Provider Notice: Security verification required within 24 hours. https://xn--confirm-access.xyz/login/988459,1
Don’t forget to submit the draft by tomorrow.,0
Service Provider Notice: Verify your account with your OTP within 24 hours or your account will be locked.,1
Your parcel is delivered. Thank you.,0
Let’s meet at lab 2pm.,0
You are selected for a reward. Install TeamViewer for verification now. Link: https://login.security-alert.secure.verify.info/auth/475911,1
Please review the report when you can.,0
Let’s meet at cafe tomorrow morning.,0
Please review the chapter draft when you can.,0
Bank Security Alert. Pay outstanding balance immediately today only to avoid legal action. Provide your PIN.,1
I’ll call you in 20 minutes.,0
This is IT support. Reset your account now with your verification code within 24 hours to prevent permanent loss.,1
Account Center: Confirm your login details urgently or your account will be deleted.,1
Official Support: Pay a small fee to release your parcel within 30 minutes to avoid legal action. Click the link to continue.,1
Bank Security Alert. Contact me on Telegram now immediately or your account will be locked. Ref: 345386,1
Account Center: Pay outstanding balance immediately within 30 minutes or your account will be deleted. Update your password.,1
Please WhatsApp me when you arrive (normal).,0
Claim your bonus now. Click the link to continue immediately. Link: https://is.gd/598302,1
IT Helpdesk here. Pay a small fee to release your parcel immediately or your account will be deleted. Update your password.,1
IT Helpdesk here. Provide your PIN with your verification code within 24 hours or your account will be suspended.,1
Here is the code for the classroom door: 624945 (normal).,0
Admin Team: Security verification required today only. https://login.bank-secure.secure.verify.info/auth/872610,1
Security Team notice. Transfer via crypto to confirm immediately or your account will be deleted. Reply with your verification code.,1
Meeting moved to next week this afternoon.,0
Service Provider Notice: Verify your account and your password asap or your account will be suspended.,1
Class starts at tonight.,0
Receipt: payment of BND 10 received. Ref 936587.,0
Are we still on for consultation?,0
Security Team notice. Send money via gift card now to avoid termination. Install AnyDesk so we can fix it.,1
IT Helpdesk here. Send money via gift card immediately or your account will be suspended. Confirm your login details.,1
Meeting moved to tomorrow tonight.,0
Thanks for your help with the research.,0
Admin Team: Reply with your verification code with your OTP within 30 minutes to avoid legal action.,1
Service Provider Notice: Security verification required within 30 minutes. http://225.185.187.170/verify/961198,1
Bank Security Alert. Security verification required asap. https://login.secure-login.secure.verify.com/auth/952679,1
Are we still on for group discussion?,0
This is IT support. Send your OTP code within 30 minutes to avoid legal action.,1
Official Support: Security verification required asap. https://login.security-alert.secure.verify.click/auth/738543,1
Admin Team: Provide your PIN with your verification code immediately or your account will be locked.,1
Your order #689849 has been shipped.,0
Service Provider Notice: Security verification required today only. https://is.gd/877388,1
Happy birthday Nur!,0
Official Support: DM me privately for the verification steps today only to avoid termination. Ref: 302338,1
Admin Team: Update your password with your verification code asap to prevent permanent loss.,1
Are we still on for meeting?,0
Don’t forget to submit the slides by Saturday.,0
Admin Team: Sign in to verify and your password within 30 minutes or your account will be deleted.,1
IT Helpdesk here. Security verification required immediately. https://rebrand.ly/298663,1
Your order #214682 has been shipped.,0
Are we still on for group discussion?,0
Admin Team: Verify your account urgently or your account will be locked.,1
IT Helpdesk here. Pay outstanding balance immediately urgently or your account will be suspended. Verify your account.,1
This is IT support. Reset your account now and your password immediately to prevent permanent loss.,1
Here is the code for the classroom door: 494894 (normal).,0
IT Helpdesk here. Sign in to verify immediately to avoid legal action.,1
I’ll call you in 15 minutes.,0
Admin Team: Send your OTP code with your verification code within 30 minutes or your account will be deleted.,1
Reminder: class at 2pm.,0
Reminder: presentation at tomorrow morning.,0
Official Support: DM me privately for the verification steps today only or your account will be deleted. Ref: 929937,1
Account Center: DM me privately for the verification steps within 30 minutes or your account will be deleted. Ref: 464158,1
Here is the code for the classroom door: 688926 (normal).,0
Here is the code for the classroom door: 591268 (normal).,0
See you today.,0
Admin Team: Wire transfer required to avoid cancellation asap or your account will be deleted. Confirm your login details.,1
Claim your bonus now. Confirm your login details within 24 hours. Link: https://login.verify-account.secure.verify.com/auth/318877,1
Claim your bonus now. Update your password now. Link: https://login.login-update.secure.verify.xyz/auth/594241,1
Bank Security Alert. Update your password with your verification code within 30 minutes or your account will be locked.,1
Class starts at 10am.,0
IT Helpdesk here. Install TeamViewer for verification with your verification code urgently to prevent permanent loss.,1
Official Support: Provide your PIN and your login details now to prevent permanent loss.,1
Meeting moved to Saturday this afternoon.,0
Your order #205239 has been shipped.,0
